arquivo,fonte,categoria,subcategoria,ano,vigencia
LEED v4 para Projeto e Construção de Edifícios.pdf,USGBC,certificacao,energia,2014,vigente
Avaliação das Práticas Sustentáveis Aplicadas as Certificações Água-HQE e GBC Brasil Casa.pdf,AQUA-HQE/GBC Brasil,certificacao,agua,2020,vigente
LBC Living Building Challenge.pdf,Living Building Challenge,certificacao,agua,2021,vigente
IEA Joint Project Towards Net.pdf,IEA SHC Task 40,relatorio_tecnico,energia,2015,vigente
AUTOMAÇÃO PREDIAL TECNOLOGIA E GESTÃO EM PROL DA.pdf,ENCAC,relatorio_tecnico,energia,2019,vigente
REÚSO DE ÁGUAS CINZAS EM EDIFICAÇÕES URBANAS VISANDO A.pdf,periodico,relatorio_tecnico,agua,2020,vigente
Dimensionamento de Sistemas de Geração Fotovoltaica.pdf,fabricante,manual_tecnologia,energia,2020,vigente
Manual Geração Local de Energia Renovável e Informativos.pdf,orgao,manual_tecnologia,energia,2025,vigente
Aquecedor Solar.pdf,fabricante,manual_tecnologia,energia,2020,vigente
Aproveitamento de Água Pluvial.pdf,SABESP,manual_tecnologia,agua,2015,vigente
